,power,wind
0,0,0.0
1,0,3.0
2,27,5.0
3,1300,7.0
4,2700,8.0
5,4000,9.0
6,4300,10.0
7,5000,12.0
8,5000,25.0
9,0,25.1
10,0,1000.0
